ts_code,name,report_date,year,analyst_count,eps_avg,eps_max,eps_min,np_avg,np_max,np_min,revenue_avg,target_price_avg,rating_buy,rating_hold,rating_neutral,rating_sell
600519,贵州茅台,2025-06-10,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-26,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-25,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-23,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-23,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-20,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-20,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-20,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-19,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-18,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-05-15,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-09,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-09,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-09,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-09,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-08,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-08,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-08,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-07,,,,,,,,,,,中性,,,
600519,贵州茅台,2025-05-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-02,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-02,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-02,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-05-01,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-28,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-28,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-25,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-04-25,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-25,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-23,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-23,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-18,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-04-17,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-17,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-16,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-15,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-04-15,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-10,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-10,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-10,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-10,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-09,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-09,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-04-09,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-09,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-08,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-08,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-08,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-04,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-04,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,中性,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-04-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-31,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-27,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-26,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-19,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-19,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-18,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-18,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-17,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-17,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-12,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-05,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-03-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-03-03,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-02-28,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-25,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-25,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-11,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-10,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-06,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-02-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-05,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-04,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-04,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-02-03,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-26,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-26,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-21,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-20,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-20,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-20,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-20,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-19,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-16,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-16,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-16,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-08,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-06,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-01-04,,,,,,,,,,,买入,,,
